Date,EFA,QQQ,SHY,SPY,TIP,TLT,VTI
2001-01-02,,45.19279098510742,,82.23995971679688,,,
2001-01-03,,52.80419921875,,86.19034576416016,,,
2001-01-04,,51.852787017822266,,85.26258087158203,,,
2001-01-05,,47.888492584228516,,82.4793701171875,,,
2001-01-08,,48.41706466674805,,83.11775207519531,,,
2001-01-09,,48.41706466674805,,82.89833068847656,,,
2001-01-10,,50.90134811401367,,84.35478210449219,,,
2001-01-11,,52.38135528564453,,84.4345703125,,,
2001-01-12,,53.05527114868164,,84.27503204345703,,,
2001-01-16,,52.42100143432617,,84.81367492675781,,,
2001-01-17,,54.019927978515625,,85.20275115966797,,,
2001-01-18,,56.292762756347656,,86.0506591796875,,,
2001-01-19,,56.08134460449219,,85.56187438964844,,,
2001-01-22,,56.13420867919922,,86.13048553466797,,,
2001-01-23,,57.31025695800781,,86.80885314941406,,,
2001-01-24,,56.76846694946289,,87.06819915771484,,,
2001-01-25,,54.548484802246094,,86.84874725341797,,,
2001-01-26,,55.433834075927734,,86.7490005493164,,,
2001-01-29,,56.662784576416016,,87.21185302734375,,,
2001-01-30,,56.45133590698242,,87.97795104980469,,,
2001-01-31,,54.379356384277344,,87.47998809814453,,,
2001-02-01,,55.098201751708984,,88.06099700927734,,,
2001-02-02,,52.05363845825195,,86.06265258789062,,,
2001-02-05,,52.0113525390625,,86.69470977783203,,,
2001-02-06,,52.09591293334961,,86.4393081665039,,,
2001-02-07,,51.250205993652344,,85.99242401123047,,,
2001-02-08,,49.719486236572266,,84.99004364013672,,,
2001-02-09,,47.6982307434082,,84.17284393310547,,,
2001-02-12,,48.27329635620117,,85.13688659667969,,,
2001-02-13,,46.725650787353516,,84.44100189208984,,,
2001-02-14,,48.586212158203125,,84.31329345703125,,,
2001-02-15,,49.3896484375,,85.13050842285156,,,
2001-02-16,,46.62416076660156,,83.25348663330078,,,
2001-02-20,,44.814334869384766,,81.97017669677734,,,
2001-02-21,,43.5542106628418,,80.20172119140625,,,
2001-02-22,,43.131370544433594,,80.32300567626953,,,
2001-02-23,,43.2835807800293,,79.78031158447266,,,
2001-02-26,,44.10393524169922,,81.47858428955078,,,
2001-02-27,,41.43992614746094,,80.72523498535156,,,
2001-02-28,,40.12908172607422,,79.13546752929688,,,
2001-03-01,,41.270774841308594,,79.55046081542969,,,
2001-03-02,,39.49480056762695,,78.91839599609375,,,
2001-03-05,,40.213645935058594,,79.63983917236328,,,
2001-03-06,,41.77822494506836,,80.49541473388672,,,
2001-03-07,,41.79512405395508,,81.06997680664062,,,
2001-03-08,,41.01706314086914,,81.15936279296875,,,
2001-03-09,,38.14165496826172,,78.75884246826172,,,
2001-03-12,,35.77366256713867,,75.38778686523438,,,
2001-03-13,,37.591949462890625,,76.62639617919922,,,
2001-03-14,,36.999942779541016,,75.11327362060547,,,
2001-03-15,,35.646827697753906,,75.13240051269531,,,
2001-03-16,,34.84337615966797,,73.62548065185547,,,
2001-03-19,,36.58553695678711,,75.12345886230469,,,
2001-03-20,,34.12451934814453,,73.10694885253906,,,
2001-03-21,,34.12451934814453,,71.86503601074219,,,
2001-03-22,,36.19650650024414,,71.13526153564453,,,
2001-03-23,,36.19650650024414,,73.28617858886719,,,
2001-03-26,,35.3592643737793,,74.22085571289062,,,
2001-03-27,,36.57707595825195,,75.73802185058594,,,
2001-03-28,,33.57482147216797,,73.64466094970703,,,
2001-03-29,,32.940528869628906,,73.92637634277344,,,
2001-03-30,,33.10966873168945,,74.70096588134766,,,
2001-04-02,,31.629661560058594,,73.10694885253906,,,
2001-04-03,,29.312414169311523,,70.66790008544922,,,
2001-04-04,,28.796524047851562,,70.96237182617188,,,
2001-04-05,,31.553556442260742,,73.65109252929688,,,
2001-04-06,,30.40339469909668,,72.53079986572266,,,
2001-04-09,,31.333662033081055,,73.33739471435547,,,
2001-04-10,,33.659358978271484,,74.67532348632812,,,
2001-04-11,,34.67424392700195,,74.72657775878906,,,
2001-04-12,,36.19650650024414,,76.08368682861328,,,
2001-04-16,,34.039947509765625,,75.28352355957031,,,
2001-04-17,,34.88566970825195,,76.34615325927734,,,
2001-04-18,,38.522212982177734,,79.38057708740234,,,
2001-04-19,,40.84793472290039,,80.43683624267578,,,
2001-04-20,,40.9325065612793,,79.70067596435547,,,
2001-04-23,,38.18394088745117,,78.25389099121094,,,
2001-04-24,,37.465084075927734,,77.83141326904297,,,
2001-04-25,,38.14165496826172,,78.8492431640625,,,
2001-04-26,,37.169063568115234,,79.20132446289062,,,
2001-04-27,,38.18394088745117,,80.52008819580078,,,
2001-04-30,,39.02964401245117,,81.08341217041016,,,
2001-05-01,,40.6364860534668,,81.33307647705078,,,
2001-05-02,,41.42304229736328,,81.18583679199219,,,
2001-05-03,,39.579349517822266,,80.15519714355469,,,
2001-05-04,,40.763370513916016,,81.51873016357422,,,
2001-05-07,,39.91765594482422,,80.8145751953125,,,
2001-05-08,,40.763370513916016,,80.77611541748047,,,
2001-05-09,,39.36794662475586,,80.43683624267578,,,
2001-05-10,,38.708282470703125,,80.67369079589844,,,
2001-05-11,,38.522212982177734,,80.11675262451172,,,
2001-05-14,,37.90485382080078,,80.2768325805664,,,
2001-05-15,,38.18394088745117,,80.64812469482422,,,
2001-05-16,,39.8753662109375,,82.54938507080078,,,
2001-05-17,,40.509666442871094,,82.6773910522461,,,
2001-05-18,,40.6280632019043,,83.05516052246094,,,
2001-05-21,,43.17364501953125,,84.27783203125,,,
2001-05-22,,43.04679870605469,,84.16899108886719,,,
2001-05-23,,41.14393997192383,,82.74146270751953,,,
